Country,Index Level,Index Ranking December 2024,Deadliness Ranking,Diffusion Ranking,Danger Ranking,Fragmentation Ranking,Deadliness Value,Diffusion Value,Danger Value,Fragmentation Value,Deadliness Value Scaled,Diffusion Value Scaled,Danger Value Scaled,Fragmentation Value Scaled,Total Score
Reunion,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Uruguay,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Cape Verde,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
American Samoa,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Andorra,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Anguilla,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Aruba,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Bailiwick of Guernsey,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Bailiwick of Jersey,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Barbados,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Bermuda,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
British Indian Ocean Territory,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
British Virgin Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Brunei,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Caribbean Netherlands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Cayman Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Christmas Island,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Cook Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Curacao,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Dominica,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Estonia,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Falkland Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Faroe Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Gibraltar,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Greenland,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Grenada,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Guam,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Iceland,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Isle of Man,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Japan,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Kuwait,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Laos,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Latvia,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Liechtenstein,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Lithuania,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Luxembourg,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Malta,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Marshall Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Martinique,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Micronesia,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Monaco,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Mongolia,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Montserrat,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Nauru,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
New Zealand,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Niue,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Norfolk Island,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Pitcairn,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Qatar,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Saint-Barthelemy,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Saint-Martin,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Samoa,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
San Marino,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Seychelles,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Singapore,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Solomon Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Taiwan,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Tajikistan,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Tokelau,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Tonga,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Tuvalu,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
United States Minor Outlying Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Vanuatu,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
"Virgin Islands, U.S.",Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Wallis and Futuna,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Kiribati,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Palau,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Antarctica,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
French Southern and Antarctic Lands,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
Akrotiri and Dhekelia,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
